# model_metrics export | git=0b7de47 | rows=152 | exported_at=2026-07-15T18:54:19+00:00
trained_at,target,horizon,model,n_train,n_test,mae,rmse,openmeteo_mae,openmeteo_rmse,precision,recall,f1,pr_auc,brier,n_pos_test
2026-05-07 15:00:19.120613+00:00,temp_c,1,linear,234,59,1.0886818173107966,1.500549679874895,2.909092264410742,3.867542700736181,,,,,,
2026-05-07 15:00:19.120613+00:00,temp_c,1,xgboost,234,59,1.1035956871201935,1.5171436085816858,2.909092264410742,3.867542700736181,,,,,,
2026-05-07 15:00:26.559991+00:00,temp_c,24,linear,216,54,2.904159396995596,3.8792660282222324,2.898383607160638,3.9248442336429727,,,,,,
2026-05-07 15:00:26.559991+00:00,temp_c,24,xgboost,216,54,2.599559343134754,3.759212719967747,2.898383607160638,3.9248442336429727,,,,,,
2026-05-07 17:23:53.558851+00:00,temp_c,3,linear,232,59,2.0932288682850864,2.9126409702304565,2.9090922644107415,3.867542700736181,,,,,,
2026-05-07 17:23:53.558851+00:00,temp_c,3,xgboost,232,59,2.2115579803423406,3.0621009589426653,2.9090922644107415,3.867542700736181,,,,,,
2026-05-10 11:00:37.226340+00:00,temp_c,1,linear,288,72,0.6017742304606765,0.7578498279106901,1.1508076445781965,2.049543197358086,,,,,,
2026-05-10 11:00:37.226340+00:00,temp_c,1,xgboost,288,72,0.4967074652861078,0.6468739097514191,1.1508076445781965,2.049543197358086,,,,,,
2026-05-10 11:00:42.376857+00:00,temp_c,3,linear,284,72,1.4284556378481992,1.7402117607518917,1.2861150751131025,2.2709914621087726,,,,,,
2026-05-10 11:00:42.376857+00:00,temp_c,3,xgboost,284,72,0.9506891170573913,1.1962845857711477,1.2861150751131025,2.2709914621087726,,,,,,
2026-05-10 11:00:47.442850+00:00,temp_c,24,linear,260,66,1.7768305395388677,2.343260642984517,1.4835895071481375,2.482594349661679,,,,,,
2026-05-10 11:00:47.442850+00:00,temp_c,24,xgboost,260,66,1.4917301633194568,1.8410410451007946,1.4835895071481375,2.482594349661679,,,,,,
2026-05-17 11:02:08.478557+00:00,temp_c,1,linear,392,99,0.5911322598808091,0.7475940163502863,0.9838971637276721,1.1538604126958436,,,,,,
2026-05-17 11:02:08.478557+00:00,temp_c,1,xgboost,392,99,0.4857028556744926,0.6486825837222704,0.9838971637276721,1.1538604126958436,,,,,,
2026-05-17 11:02:12.474632+00:00,temp_c,3,linear,389,98,1.1665815107853752,1.4826689212205328,0.9771607286982587,1.147779721928229,,,,,,
2026-05-17 11:02:12.474632+00:00,temp_c,3,xgboost,389,98,0.8090695504384592,1.0575701322987092,0.9771607286982587,1.147779721928229,,,,,,
2026-05-17 11:02:16.328666+00:00,temp_c,24,linear,364,92,1.2982182399441797,1.7640785924255586,0.9988657577990662,1.1704409492391004,,,,,,
2026-05-17 11:02:16.328666+00:00,temp_c,24,xgboost,364,92,1.0024245731088566,1.3080045817378534,0.9988657577990662,1.1704409492391004,,,,,,
2026-05-24 11:05:10.754831+00:00,temp_c,1,linear,26923,6731,0.6885343317473062,0.8906595817289858,1.6833928752666154,2.208889075147581,,,,,,
2026-05-24 11:05:10.754831+00:00,temp_c,1,xgboost,26923,6731,0.7851877227235182,1.0184363251245858,1.6833928752666154,2.208889075147581,,,,,,
2026-05-24 11:05:32.602780+00:00,temp_c,3,linear,26842,6711,1.241545906556552,1.5779954628791517,1.6782740432776841,2.203436788441417,,,,,,
2026-05-24 11:05:32.602780+00:00,temp_c,3,xgboost,26842,6711,1.2518301194754897,1.6542312266893908,1.6782740432776841,2.203436788441417,,,,,,
2026-05-24 11:05:54.958553+00:00,temp_c,24,linear,26766,6692,1.7300331968850298,2.3425373567295362,1.6812607747215387,2.2069136913520886,,,,,,
2026-05-24 11:05:54.958553+00:00,temp_c,24,xgboost,26766,6692,2.2121242496572484,3.015544819443191,1.6812607747215387,2.2069136913520886,,,,,,
2026-05-31 11:04:41.573653+00:00,temp_c,1,linear,56755,14189,0.8187083765593771,1.0356956951182137,1.4787776418670788,1.9944782790312099,,,,,,
2026-05-31 11:04:41.573653+00:00,temp_c,1,xgboost,56755,14189,0.6664919463979382,0.8822764039159893,1.4787776418670788,1.9944782790312099,,,,,,
2026-05-31 11:05:18.522168+00:00,temp_c,3,linear,56596,14150,1.474531233134424,1.7999716153826242,1.4788549819328822,1.9955555204018023,,,,,,
2026-05-31 11:05:18.522168+00:00,temp_c,3,xgboost,56596,14150,1.0877096317445778,1.4404692894967046,1.4788549819328822,1.9955555204018023,,,,,,
2026-05-31 11:05:54.072587+00:00,temp_c,24,linear,56483,14121,1.915295723016768,2.330205670037911,1.4793777088817113,1.9964324239935551,,,,,,
2026-05-31 11:05:54.072587+00:00,temp_c,24,xgboost,56483,14121,1.8950245046741,2.516137379540839,1.4793777088817113,1.9964324239935551,,,,,,
2026-06-01 17:49:36.007329+00:00,rain_mm_1h,1,linear,61066,15267,0.22622075908553024,0.8648720109366108,1.0785655335036353,2.8943557869580143,,,,,,
2026-06-01 17:49:36.007329+00:00,rain_mm_1h,1,xgboost,61066,15267,0.20229755991107568,0.6725088958118044,1.0785655335036353,2.8943557869580143,,,,,,
2026-06-01 17:50:23.754414+00:00,rain_mm_1h,3,linear,61020,15255,0.5794208723691954,1.470703494357789,1.0795050803015407,2.8953761587439284,,,,,,
2026-06-01 17:50:23.754414+00:00,rain_mm_1h,3,xgboost,61020,15255,0.3671896078982202,1.0913733771516478,1.0795050803015407,2.8953761587439284,,,,,,
2026-06-01 17:51:08.097507+00:00,rain_mm_1h,24,linear,60949,15238,1.5921562767992568,2.582499226667556,1.0781178632366453,2.8954187261404867,,,,,,
2026-06-01 17:51:08.097507+00:00,rain_mm_1h,24,xgboost,60949,15238,1.5034291264994344,2.675930198801695,1.0781178632366453,2.8954187261404867,,,,,,
2026-06-07 11:04:10.370283+00:00,rain_mm_1h,1,linear,86321,21581,0.23160378044529997,0.7895151299122023,0.7715541448496362,2.7022445736092724,,,,,,
2026-06-07 11:04:10.370283+00:00,rain_mm_1h,1,xgboost,86321,21581,0.15360666731049272,0.6433036187892857,0.7715541448496362,2.7022445736092724,,,,,,
2026-06-07 11:04:45.513512+00:00,rain_mm_1h,3,linear,86244,21562,0.6498872268164555,1.468792487950913,0.7707772933865134,2.700943357239269,,,,,,
2026-06-07 11:04:45.513512+00:00,rain_mm_1h,3,xgboost,86244,21562,0.306088947707009,1.0808024446098448,0.7707772933865134,2.700943357239269,,,,,,
2026-06-07 11:05:27.701166+00:00,rain_mm_1h,24,linear,86159,21540,1.7310155405915666,2.6235020546784984,0.7663825441039926,2.6969831128250528,,,,,,
2026-06-07 11:05:27.701166+00:00,rain_mm_1h,24,xgboost,86159,21540,1.1209400183647653,2.4716970121872976,0.7663825441039926,2.6969831128250528,,,,,,
2026-06-07 11:06:07.140846+00:00,temp_c,1,linear,86180,21546,0.7508203633076345,0.9984382806408748,1.318034751683549,1.8136398870364714,,,,,,
2026-06-07 11:06:07.140846+00:00,temp_c,1,xgboost,86180,21546,0.7568155499421674,1.0000908685153063,1.318034751683549,1.8136398870364714,,,,,,
2026-06-07 11:06:46.471995+00:00,temp_c,3,linear,85929,21483,1.3101164859585834,1.684597331398708,1.3168896879650611,1.8118094876877437,,,,,,
2026-06-07 11:06:46.471995+00:00,temp_c,3,xgboost,85929,21483,1.2263983040884319,1.5700692337621818,1.3168896879650611,1.8118094876877437,,,,,,
2026-06-07 11:07:22.997216+00:00,temp_c,24,linear,85855,21464,1.4326515471417458,1.8455019810066438,1.316201135228914,1.8113930000957783,,,,,,
2026-06-07 11:07:22.997216+00:00,temp_c,24,xgboost,85855,21464,1.5524158200048477,1.985805861350968,1.316201135228914,1.8113930000957783,,,,,,
2026-06-14 11:04:05.950378+00:00,rain_mm_1h,1,linear,115560,28890,0.649532551288809,2.690392647980668,3.1278483904465215,8.899631737357147,,,,,,
2026-06-14 11:04:05.950378+00:00,rain_mm_1h,1,xgboost,115560,28890,0.7232770601075481,3.348282939732147,3.1278483904465215,8.899631737357147,,,,,,
2026-06-14 11:05:07.569411+00:00,rain_mm_1h,3,linear,115450,28863,1.624779551914024,4.5577124199547265,3.12096039912691,8.892831809345164,,,,,,
2026-06-14 11:05:07.569411+00:00,rain_mm_1h,3,xgboost,115450,28863,1.0063449313277189,3.6045881517443483,3.12096039912691,8.892831809345164,,,,,,
2026-06-14 11:06:10.165244+00:00,rain_mm_1h,24,linear,115328,28833,3.311226224852414,8.526766319289472,3.1167100197690143,8.892798382599347,,,,,,
2026-06-14 11:06:10.165244+00:00,rain_mm_1h,24,xgboost,115328,28833,3.152807380958815,8.438141876114468,3.1167100197690143,8.892798382599347,,,,,,
2026-06-14 11:06:59.588327+00:00,temp_c,1,linear,115369,28843,0.7471911834082577,0.9830684126894976,1.6796771618907296,2.2351099302959305,,,,,,
2026-06-14 11:06:59.588327+00:00,temp_c,1,xgboost,115369,28843,0.6703323248054726,0.9119436551791972,1.6796771618907296,2.2351099302959305,,,,,,
2026-06-14 11:07:44.563990+00:00,temp_c,3,linear,115016,28754,1.3303419357047688,1.7050389839088547,1.6790372784386114,2.234148463568362,,,,,,
2026-06-14 11:07:44.563990+00:00,temp_c,3,xgboost,115016,28754,1.1630230570868219,1.5113174274504948,1.6790372784386114,2.234148463568362,,,,,,
2026-06-14 11:08:28.226137+00:00,temp_c,24,linear,114857,28715,1.4153892466790707,1.855721175328499,1.6793092468350306,2.234856747120376,,,,,,
2026-06-14 11:08:28.226137+00:00,temp_c,24,xgboost,114857,28715,1.272285825046214,1.650051665915829,1.6793092468350306,2.234856747120376,,,,,,
2026-06-21 11:01:59.805325+00:00,rain_mm_1h,1,linear,134372,33593,0.23327169161485917,5.977703396168009,0.5492197779299258,21.733686005358447,,,,,,
2026-06-21 11:01:59.805325+00:00,rain_mm_1h,1,xgboost,134372,33593,0.7311856947558767,20.719721176629488,0.5492197779299258,21.733686005358447,,,,,,
2026-06-21 11:02:56.631659+00:00,rain_mm_1h,3,linear,134242,33561,0.6462708263465757,9.588299542458493,0.5764521319388577,22.28776232568022,,,,,,
2026-06-21 11:02:56.631659+00:00,rain_mm_1h,3,xgboost,134242,33561,0.8280697824095304,21.30484059635284,0.5764521319388577,22.28776232568022,,,,,,
2026-06-21 11:03:50.992062+00:00,rain_mm_1h,24,linear,134130,33533,2.514224884887758,22.436769336293406,0.5769334685235439,22.297065506543312,,,,,,
2026-06-21 11:03:50.992062+00:00,rain_mm_1h,24,xgboost,134130,33533,2.1001729584168505,22.39971022044056,0.5769334685235439,22.297065506543312,,,,,,
